,Player,PosCount,NegCount,Ratio,CommentStudentizedScore,StatStudentizedScr,Difference
1,Shai Gilgeous-Alexander,50,96,0.5208333333333334,-0.033111546824327806,0.4371950838842717,-0.4703066307085995
2,Jalen Williams,26,29,0.896551724137931,1.0259221934732377,0.13340879397939173,0.8925133994938459
3,Chet Holmgren,4,19,0.21052631578947367,-0.9077708913570963,-0.1703774959254882,-0.7373933954316081
4,Alex Caruso,11,21,0.5238095238095238,-0.02472258794188331,0.6541852909591859,-0.6789078789010692
5,Luguentz Dort,5,21,0.23809523809523808,-0.8300626406565575,0.914573539449083,-1.7446361801056405
6,Cason Wallace,1,1,1.0,1.3175108332492402,-0.04018337168053966,1.35769420492978
7,Aaron Wiggins,5,5,1.0,1.3175108332492402,-0.5175618272453509,1.8350726604945913
8,Isaiah Hartenstein,0,1,0.0,-1.5011793512521194,1.3485539535989115,-2.849733304851031
9,Isaiah Joe,0,1,0.0,-1.5011793512521194,1.0447676636940315,-2.545947014946151
10,Jaylin Williams,1,2,0.5,-0.09183425900143957,2.2599128233135515,-2.351747082314991
11,Kenrich Williams,0,0,,,-0.8213481171502308,
12,Dillon Jones,0,1,0.0,-1.5011793512521194,1.3051559121839287,-2.806335263436048
13,Ajay Mitchell,0,0,,,-1.645910904034905,
14,Ousmane Dieng,0,0,,,-0.6043579100753167,
15,Pascal Siakam,11,24,0.4583333333333333,-0.20927968335566294,0.6541852909591859,-0.8634649743148488
16,Tyrese Haliburton,104,162,0.6419753086419753,0.3083501499092472,-0.12697945451050535,0.43532960441975255
17,Bennedict Mathurin,36,42,0.8571428571428571,0.9148408068919031,0.4371950838842717,0.47764572300763136
18,T.J. McConnell,12,11,1.0909090909090908,1.5737553954766363,0.22020487680935744,1.353550518667279
19,Andrew Nembhard,12,37,0.32432432432432434,-0.5870095616841108,0.0032146697344431884,-0.590224231418554
20,Obi Toppin,2,3,0.6666666666666666,0.3779474384154536,-0.3439696615854196,0.7219171000008732
21,Myles Turner,3,11,0.2727272727272727,-0.7324456645699304,-0.6477559514902995,-0.08468971307963091
22,Aaron Nesmith,4,10,0.4,-0.37370327745157544,-0.2571735787554539,-0.11652969869612156
23,Ben Sheppard,3,3,1.0,1.3175108332492402,-0.5609598686603339,1.878470701909574
24,Thomas Bryant,1,1,1.0,1.3175108332492402,0.2636029182243403,1.0539079150249
25,Tony Bradley,2,2,1.0,1.3175108332492402,0.3937970424692888,0.9237137907799514
26,Johnny Furphy,5,5,1.0,1.3175108332492402,-2.687463897994493,4.004974731243733
27,James Johnson,35,45,0.7777777777777778,0.6911352366933826,-1.645910904034905,2.3370461407282876
